d,r,2^d,exact_time_s,brute_time_s,speedup,exact_eq_brute
8,15,256,0.0002765520475804806,0.003414865117520094,12.34800156931154,True
9,50,512,0.0011367059778422117,0.00781858991831541,6.878286971937367,True
10,11,1024,0.00024405005387961864,0.01778097217902541,72.85789081528391,True
11,189,2048,0.005490896059200168,0.043506290996447206,7.923349946417408,True
12,70,4096,0.002203816082328558,0.09764656377956271,44.30794591370306,True
13,321,8192,0.010688624810427427,0.22328117000870407,20.889606845482987,True
14,1301,16384,0.04856285499408841,0.5014975131489336,10.326771628438676,True
15,378,32768,0.015781658934429288,1.1294907899573445,71.56983905495802,True
16,1301,65536,0.06508204806596041,2.5217498729471117,38.74724210263524,True
17,3390,131072,0.1621949030086398,5.472818213980645,33.7422330323729,True
18,10682,262144,0.563859845045954,12.026269061025232,21.32847225545047,True
