d,r,2^d,exact_time_s
20,2400,1048576,0.137392956065014
21,44750,2097152,3.1467442610301077
22,231349,4194304,17.757182565983385
23,66014,8388608,4.854630655841902
24,166765,16777216,14.278102542972192
25,200706,33554432,18.84740965696983
